audio_id,model_name,run_id,delta_score_single
Anam_Rueckenschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,P1_01_01,0.02753974603953536
Anam_Rueckenschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,P1_01_03,0.027877565507459633
Anam_Rueckenschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,P1_01_02,0.0275965330806786
Anam_Rueckenschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,P1_01_04,0.027414833687520342
Anam_Rueckenschmerzen,MedGemma 27B Instruct,P1_01_02,0.024085366384291675
Anam_Rueckenschmerzen,MedGemma 27B Instruct,P1_01_01,0.02465596249997715
Anam_Rueckenschmerzen,MedGemma 27B Instruct,P1_01_04,0.024297811137347844
Anam_Rueckenschmerzen,MedGemma 27B Instruct,P1_01_03,0.025275664516136186
Anam_Rueckenschmerzen,Meta Llama 3.1 8B Instruct,P1_01_01,0.02887969909384497
Anam_Rueckenschmerzen,Meta Llama 3.1 8B Instruct,P1_01_03,0.026911899800914584
Anam_Rueckenschmerzen,Meta Llama 3.1 8B Instruct,P1_01_02,0.03128514698516927
Anam_Rueckenschmerzen,Meta Llama 3.1 8B Instruct,P1_01_04,0.03038182202035491
Anam_Rueckenschmerzen,OpenAI GPT OSS 120B,P1_01_01,0.02538187951708495
Anam_Rueckenschmerzen,OpenAI GPT OSS 120B,P1_01_02,0.020974472991162868
Anam_Rueckenschmerzen,OpenAI GPT OSS 120B,P1_01_03,0.025410833387733547
Anam_Rueckenschmerzen,OpenAI GPT OSS 120B,P1_01_04,0.023232786629786777
Anam_Fahrradunfall_01,MedGemma 27B Instruct,P1_01_01,0.019897989762188432
Anam_Fahrradunfall_01,MedGemma 27B Instruct,P1_01_02,0.02143051108874245
Anam_Fahrradunfall_01,MedGemma 27B Instruct,P1_01_04,0.02074908108444315
Anam_Fahrradunfall_01,MedGemma 27B Instruct,P1_01_03,0.022087341035591686
Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,P1_01_01,0.023569540728892432
Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,P1_01_03,0.023518219384765626
Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,P1_01_02,0.023079293535337084
Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,P1_01_04,0.02381925749469947
Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,P1_01_02,0.024382993357592166
Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,P1_01_04,0.023513355065509722
Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,P1_01_03,0.025226701831684975
Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,P1_01_01,0.023921999240322178
Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,P1_01_01,0.019018047888383502
Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,P1_01_02,0.015969025019967775
Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,P1_01_04,0.02037509043468787
Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,P1_01_03,0.01836351508639754
Anam_Fremdanamnese_Saeugling,Llama 3.1 SauerkrautLM 70B Instruct,P1_01_04,0.022932735529155594
Anam_Fremdanamnese_Saeugling,Llama 3.1 SauerkrautLM 70B Instruct,P1_01_03,0.02238299956429394
Anam_Fremdanamnese_Saeugling,Llama 3.1 SauerkrautLM 70B Instruct,P1_01_02,0.02249395314551118
Anam_Fremdanamnese_Saeugling,Llama 3.1 SauerkrautLM 70B Instruct,P1_01_01,0.02214021796995862
