experiment_id,audio_id,model_name,l2_aari1995/German_Semantic_V3b
1765,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.40405374484758755
1762,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.36675082414549215
1767,Anam_Beinschmerzen,MedGemma 27B Instruct,0.44339484723286815
1766,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.36910491591697586
1769,Anam_Beinschmerzen,MedGemma 27B Instruct,0.2158385551925088
1768,Anam_Beinschmerzen,MedGemma 27B Instruct,0.2470525015443875
1770,Anam_Beinschmerzen,MedGemma 27B Instruct,0.2723220156816283
1772,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.24853556314877776
1771,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.2837847010125752
1773,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.3666122527197151
1774,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.34343726959164894
1777,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.28233413172721306
1776,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.30535405647876673
1779,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.25195083190771494
1778,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.24993920711699308
1780,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.3247967463622231
1781,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.333232817496244
1783,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.3659286209070726
1782,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.35729663582676413
1786,Anam_Cephalgie,MedGemma 27B Instruct,0.24105440206436443
1785,Anam_Cephalgie,MedGemma 27B Instruct,0.23315574389820956
1787,Anam_Cephalgie,MedGemma 27B Instruct,0.25752884071466486
1788,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.4903833012243266
1784,Anam_Cephalgie,MedGemma 27B Instruct,0.1940639246789572
1790,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.3890336725735925
1789,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.45066911791692577
1791,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.39956509007061164
1793,Anam_Cephalgie,OpenAI GPT OSS 120B,0.22576039982436946
1792,Anam_Cephalgie,OpenAI GPT OSS 120B,0.2106825614720796
1795,Anam_Cephalgie,OpenAI GPT OSS 120B,0.2439542592227712
1794,Anam_Cephalgie,OpenAI GPT OSS 120B,0.26875361785972296
1840,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.2925908156201095
1849,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.2637475789122394
1847,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.32614078564496685
1856,Anam_Covid-19_01,MedGemma 27B Instruct,0.18629640157633703
1851,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.3227393588708646
1853,Anam_Covid-19_01,MedGemma 27B Instruct,0.17684834115243908
1858,Anam_Covid-19_01,MedGemma 27B Instruct,0.18795195131694822
1857,Anam_Covid-19_01,MedGemma 27B Instruct,0.18008934374642313
1860,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.2938069803153551
1859,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.32381926085290047
1861,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.3661216741681132
1862,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.16578283116859352
1864,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.2298780838928282
1863,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.1692468875158059
1865,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.2079035953919144
1875,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.24886517895011798
1866,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.2045182123722894
1876,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.278787292183192
1878,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.26749206826071664
1877,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.27242744649532896
1879,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.35343970682035286
1881,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.3034704123607589
1880,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.3639578712844292
1882,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.36738981460349074
1872,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.34402962417215843
1763,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.37161466936138576
1874,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.3205152035995061
1873,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.35217492585117854
1871,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.3326825645402558
1888,Anam_Aengstliche-Patientin,Llama 3.1 SauerkrautLM 70B Instruct,0.4420965569288738
1887,Anam_Aengstliche-Patientin,Llama 3.1 SauerkrautLM 70B Instruct,0.4100290772996045
1889,Anam_Aengstliche-Patientin,Llama 3.1 SauerkrautLM 70B Instruct,0.4061586339763998
1891,Anam_Aengstliche-Patientin,MedGemma 27B Instruct,0.301398879119587
1890,Anam_Aengstliche-Patientin,Llama 3.1 SauerkrautLM 70B Instruct,0.42133255365103794
1893,Anam_Aengstliche-Patientin,MedGemma 27B Instruct,0.14489050537635562
1892,Anam_Aengstliche-Patientin,MedGemma 27B Instruct,0.29238377090470913
1894,Anam_Aengstliche-Patientin,MedGemma 27B Instruct,0.23756527916430525
1896,Anam_Aengstliche-Patientin,Meta Llama 3.1 8B Instruct,0.4157107782676649
1895,Anam_Aengstliche-Patientin,Meta Llama 3.1 8B Instruct,0.4258190524164825
1898,Anam_Aengstliche-Patientin,Meta Llama 3.1 8B Instruct,0.48827042749719307
1897,Anam_Aengstliche-Patientin,Meta Llama 3.1 8B Instruct,0.4209337295232008
1899,Anam_Aengstliche-Patientin,OpenAI GPT OSS 120B,0.41535535832293075
1901,Anam_Aengstliche-Patientin,OpenAI GPT OSS 120B,0.2567109885970344
1900,Anam_Aengstliche-Patientin,OpenAI GPT OSS 120B,0.3498781815383457
1902,Anam_Aengstliche-Patientin,OpenAI GPT OSS 120B,0.22998463669190924
1883,Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,0.22631491864203296
1884,Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,0.21133490259685228
2008,Anam_Cholezystitis,MedGemma 27B Instruct,0.18328675066932393
1886,Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,0.27968591322656916
2013,Anam_Cholezystitis,Meta Llama 3.1 8B Instruct,0.4005538171565065
2026,Anam_Cholezystitis,OpenAI GPT OSS 120B,0.20562121377913128
2014,Anam_Cholezystitis,Meta Llama 3.1 8B Instruct,0.4971106195983001
2023,Anam_Cholezystitis,OpenAI GPT OSS 120B,0.22123016902533513
2021,Anam_Cholezystitis,OpenAI GPT OSS 120B,0.26723317968217786
2020,Anam_Cholezystitis,OpenAI GPT OSS 120B,0.2124972192885119
1994,Anam_Cholezystitis,Llama 3.1 SauerkrautLM 70B Instruct,0.34039303375720953
1885,Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,0.2334137734348579
2019,Anam_Cholezystitis,Meta Llama 3.1 8B Instruct,0.3541017118721765
2018,Anam_Cholezystitis,Meta Llama 3.1 8B Instruct,0.39653035622647487
2012,Anam_Cholezystitis,MedGemma 27B Instruct,0.28359824414641294
2007,Anam_Cholezystitis,MedGemma 27B Instruct,0.24596681755800517
2006,Anam_Cholezystitis,MedGemma 27B Instruct,0.1816689200159372
2005,Anam_Cholezystitis,Llama 3.1 SauerkrautLM 70B Instruct,0.37996476081262165
2001,Anam_Cholezystitis,Llama 3.1 SauerkrautLM 70B Instruct,0.3846443498352374
1999,Anam_Cholezystitis,Llama 3.1 SauerkrautLM 70B Instruct,0.3647395199208457
2031,Anam_Covid-19_02,Llama 3.1 SauerkrautLM 70B Instruct,0.37954462196514144
