experiment_id,audio_id,model_name,sim_embedding_Llama-3.1_8B-Instruct
1765,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.7071769337121461
1762,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.7128144654834542
1767,Anam_Beinschmerzen,MedGemma 27B Instruct,0.35800059753601016
1766,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.6810636926768471
1769,Anam_Beinschmerzen,MedGemma 27B Instruct,0.5875993473136913
1768,Anam_Beinschmerzen,MedGemma 27B Instruct,0.7453967095274503
1770,Anam_Beinschmerzen,MedGemma 27B Instruct,0.7118644897275999
1772,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.7222344375277585
1771,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.74639559642608
1773,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.7228372388432647
1774,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.7287109764217561
1777,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.7012841848706337
1776,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.7149362080694437
1779,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.6712234588682816
1778,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.6978887944851899
1780,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.7197243227054421
1781,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.7446247223960493
1783,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.7402462905003803
1782,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.7419171522170016
1786,Anam_Cephalgie,MedGemma 27B Instruct,0.7126835581398612
1785,Anam_Cephalgie,MedGemma 27B Instruct,0.7385899809949965
1787,Anam_Cephalgie,MedGemma 27B Instruct,0.7384304533054454
1788,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.7058622431468005
1784,Anam_Cephalgie,MedGemma 27B Instruct,0.783050477975598
1790,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.7126440233009901
1789,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.736379012575105
1791,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.7085295676807846
1793,Anam_Cephalgie,OpenAI GPT OSS 120B,0.720881758074648
1792,Anam_Cephalgie,OpenAI GPT OSS 120B,0.6652832695413652
1795,Anam_Cephalgie,OpenAI GPT OSS 120B,0.6756822181892005
1794,Anam_Cephalgie,OpenAI GPT OSS 120B,0.7192724612907393
1840,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.6413293687128343
