experiment_id,audio_id,model_name,sim_aari1995/German_Semantic_V3b
1765,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.9183702846208941
1762,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.9327469121500669
1767,Anam_Beinschmerzen,MedGemma 27B Instruct,0.9017005041427536
1766,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.93188077758306
1769,Anam_Beinschmerzen,MedGemma 27B Instruct,0.976706858817079
1768,Anam_Beinschmerzen,MedGemma 27B Instruct,0.9694825330691287
1770,Anam_Beinschmerzen,MedGemma 27B Instruct,0.9629203601856934
1772,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.9691150371202821
1771,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.9597331215099064
1773,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.9327977329146586
1774,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.9410254179010358
1777,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.9601437208743805
1776,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.9533794519230966
1779,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.9682603866664004
1778,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.9687651979107764
1780,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.9472535416175331
1781,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.9444779501841267
1783,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.9330481205755803
1782,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.9361695604208122
1786,Anam_Cephalgie,MedGemma 27B Instruct,0.9709463863603438
1785,Anam_Cephalgie,MedGemma 27B Instruct,0.9728191998864417
1787,Anam_Cephalgie,MedGemma 27B Instruct,0.9668394477834257
1788,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.8797621176087992
1784,Anam_Cephalgie,MedGemma 27B Instruct,0.9811695960071235
1790,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.9243263996302069
1789,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.8984486811029349
1791,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.9201738715886164
1793,Anam_Cephalgie,OpenAI GPT OSS 120B,0.9745161221288926
1792,Anam_Cephalgie,OpenAI GPT OSS 120B,0.9778064279003107
1795,Anam_Cephalgie,OpenAI GPT OSS 120B,0.9702431577988728
1794,Anam_Cephalgie,OpenAI GPT OSS 120B,0.963885747684059
1840,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.9571953087902186
1849,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.9652186079609579
1847,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.9468160944865325
1856,Anam_Covid-19_01,MedGemma 27B Instruct,0.9826468265748992
1851,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.9479196514347976
1853,Anam_Covid-19_01,MedGemma 27B Instruct,0.9843623339024834
1858,Anam_Covid-19_01,MedGemma 27B Instruct,0.9823370332852461
1857,Anam_Covid-19_01,MedGemma 27B Instruct,0.9837839142537935
1860,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.956838732758453
1859,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.9475705448394725
1861,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.9329774626405343
1862,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.9862580273781499
1864,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.9735780337040474
1863,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.9856777454349303
1865,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.9783880487977203
1875,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.9690330619442802
1866,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.9790861510152445
1876,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.9611388218197496
1878,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.9642239969567152
1877,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.9628916401079682
1879,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.9375401839595067
1881,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.9539528567487838
1880,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.9337673289943094
1882,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.9325123642832136
1872,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.9408218067318777
1763,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.9309512663327959
1874,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.9486349968492908
1873,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.9379864091951221
1871,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.9446611552175723
