experiment_id,audio_id,model_name,sim_embedding_Jina_v3
1765,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.8198609059289221
1762,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.8380296784982522
1767,Anam_Beinschmerzen,MedGemma 27B Instruct,0.8280119716868848
1766,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.8359338114056227
1769,Anam_Beinschmerzen,MedGemma 27B Instruct,0.8451787450931987
1768,Anam_Beinschmerzen,MedGemma 27B Instruct,0.8377585486225407
1770,Anam_Beinschmerzen,MedGemma 27B Instruct,0.8198980252208088
1772,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.8906724201318932
1771,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.9039996176868021
1773,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.8890594092682974
1774,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.8902088365167249
1777,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.847961676770741
1776,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.8556809766686627
1779,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.8691411763563186
1778,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.8536458358867514
1780,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.7994131425624291
1781,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.7917161609426904
1783,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.7764581213176802
1782,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.7733637662480634
1786,Anam_Cephalgie,MedGemma 27B Instruct,0.8427412281568358
1785,Anam_Cephalgie,MedGemma 27B Instruct,0.8510219030619746
1787,Anam_Cephalgie,MedGemma 27B Instruct,0.849773408413651
1788,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.8179324071034122
1784,Anam_Cephalgie,MedGemma 27B Instruct,0.8618567648169542
1790,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.8274131854121332
1789,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.8351632467152501
1791,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.824827227469489
1793,Anam_Cephalgie,OpenAI GPT OSS 120B,0.8386518562811238
1792,Anam_Cephalgie,OpenAI GPT OSS 120B,0.8560678654357953
1795,Anam_Cephalgie,OpenAI GPT OSS 120B,0.8364943657280355
1794,Anam_Cephalgie,OpenAI GPT OSS 120B,0.8418507514243848
1840,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.8563371563568913
1849,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.8480359708003103
1847,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.8623698581076616
1856,Anam_Covid-19_01,MedGemma 27B Instruct,0.835434364915528
1851,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.8418612729651366
1853,Anam_Covid-19_01,MedGemma 27B Instruct,0.8481492968634883
1858,Anam_Covid-19_01,MedGemma 27B Instruct,0.8378913134033052
1857,Anam_Covid-19_01,MedGemma 27B Instruct,0.8465741791764214
1860,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.8870940359647433
1859,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.8813040205313484
1861,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.8744373029911692
1862,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.9055558370595354
1864,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.8297114156577501
1863,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.8565458423960943
1865,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.8479159955271679
1875,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.8239736302473395
1866,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.8399183419764784
1876,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.8049433379179494
1878,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.8134288283305433
1877,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.8136511615872484
1879,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.8180911496609531
