experiment_id,audio_id,model_name,sim_Alibaba-NLP/gte-multilingual-base
1765,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.8576719598405848
1762,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.8552513501428118
1767,Anam_Beinschmerzen,MedGemma 27B Instruct,0.8440180933795889
1766,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.8582567089747515
1769,Anam_Beinschmerzen,MedGemma 27B Instruct,0.8733858111296
1768,Anam_Beinschmerzen,MedGemma 27B Instruct,0.8381724514567381
1770,Anam_Beinschmerzen,MedGemma 27B Instruct,0.8267171246908099
1772,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.8614701450620775
1771,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.8362851492779482
1773,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.8281174812617934
1774,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.837413431063824
1777,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.8599715084907149
1776,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.8623406442757866
1779,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.8546028430724779
1778,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.8460529335427994
1780,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.8313555811918695
1781,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.8182692408978502
1783,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.8289813530566804
1782,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.8224271601719249
1786,Anam_Cephalgie,MedGemma 27B Instruct,0.8377184842010672
1785,Anam_Cephalgie,MedGemma 27B Instruct,0.8367280251212097
1787,Anam_Cephalgie,MedGemma 27B Instruct,0.8420500503620143
1788,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.827058543157617
1784,Anam_Cephalgie,MedGemma 27B Instruct,0.847494435938451
1790,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.83464335573681
1789,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.830314956138472
1791,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.8370530523777154
1793,Anam_Cephalgie,OpenAI GPT OSS 120B,0.8373793068409202
1792,Anam_Cephalgie,OpenAI GPT OSS 120B,0.8644792319075053
1795,Anam_Cephalgie,OpenAI GPT OSS 120B,0.8433525105312571
